phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,record
3,root_fusion_class0_only,0,complete,0.1028,loss_explosion,5.835670682248429e+30,7,5,0,1,0.11917,0.0,,10,27.96212770009879,0.0,0.0,0.0,0.0,1.4,49.192850035615265,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_b51bc6dc4f.json
4,baseline_ipm,0,complete,0.2131,ok,11.760683982849121,0,21,3,0,0.17345,0.0,,11,33.44720540009439,0.0,0.0,,,1.4761904761904763,38.501425000140436,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_66e8cade51.json
4,triage_ipm,0,complete,0.0958,ok,32.25547454833984,0,21,3,0,0.14765999999999999,0.0,,11,33.43025609990582,0.0,0.05263157894736842,,,1.4761904761904763,49.15851492551155,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_86876c1de7.json
4,anytime_ipm_2ms,0,complete,0.1817,ok,13.657125448608399,0,21,3,0,0.18334,0.0,,11,33.395722699933685,0.0,0.0,,,1.4761904761904763,45.71587499813177,0.4,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_0176f05815.json
4,anytime_ipm_10ms,0,complete,0.1932,ok,14.553470780944824,0,21,3,0,0.18801,0.0,,11,33.47065759997349,0.0,0.0,,,1.4761904761904763,46.76060995552689,0.1,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_0b68700697.json
4,anytime_ipm_50ms,0,complete,0.1929,ok,16.07996462097168,0,21,3,0,0.17532,0.0,,11,33.617446599993855,0.0,0.0,,,1.4761904761904763,46.05613504536449,0.0,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_a73517ba25.json
4,baseline_joint_timing,0,complete,0.2396,ok,6.516677053070068,0,21,3,0,0.20058,0.0,,11,33.83403249992989,0.0,0.0,,,1.380952380952381,38.52828501840122,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_187524f817.json
4,triage_joint_timing,0,complete,0.1946,ok,6.51906781539917,0,21,3,0,0.17628,0.0,,11,33.78303159994539,0.0,0.0,,,1.380952380952381,40.3742500115186,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_4477369023.json
4,anytime_joint_timing_2ms,0,complete,0.1152,ok,7.640152151489258,0,21,3,0,0.17298,0.0,,11,33.945249899988994,0.0,0.0,,,1.380952380952381,39.81634507072158,0.0,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_7377d4869a.json
4,anytime_joint_timing_10ms,0,complete,0.1127,ok,7.579232814025879,0,21,3,0,0.1718,0.0,,11,34.085324500105344,0.0,0.0,,,1.380952380952381,42.0425699732732,0.0,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_377faa47fd.json
4,anytime_joint_timing_50ms,0,complete,0.0892,ok,7.28453185043335,0,21,3,0,0.15613,0.0,,11,33.726395300007425,0.0,0.0,,,1.380952380952381,40.686884993920096,0.0,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_8aa014565f.json
